number,symbol,company,perc_change,price,volume,market_cap,date
1,CHEK,Check-Cap Ltd.,184.22,2.12,129607368,12400000,2025-09-15
2,ATCH,"AtlasClear Holdings, Inc.",153.85000000000002,0.99,498098307,15440000,2025-09-15
3,HSDT,"Helius Medical Technologies, Inc.",141.67,18.27,20034254,19680000,2025-09-15
4,MTVA,MetaVia Inc.,115.55,1.5,90297146,36300000,2025-09-15
5,IHT,InnSuites Hospitality Trust,66,3.32,28911283,39760000.00000001,2025-09-15
6,NAOV,"NanoVibronix, Inc.",64.86999999999999,10.7,55313931,8530000,2025-09-15
7,OPI,Office Properties Income Trust,59.620000000000005,0.88,151435735,65099999.99999999,2025-09-15
8,RCEL,"AVITA Medical, Inc.",48.25,6.76,19595584,206130000,2025-09-15
9,GLUE,"Monte Rosa Therapeutics, Inc.",44.07,6.93,31708353,427989999.99999994,2025-09-15
10,LRE,"Lead Real Estate Co., Ltd",37.73,2.15,42561122,29330000,2025-09-15
11,BLNE,"Beeline Holdings, Inc.",36.4,3.41,5494115,66869999.99999999,2025-09-15
12,APLM,"Apollomics, Inc.",36.02,9.29,232908,19939999.999999996,2025-09-15
13,ORIS,Oriental Rise Holdings Limited,35.33,0.183,77295880,4019999.999999999,2025-09-15
14,CCCC,"C4 Therapeutics, Inc.",34.21,3.57,8094169,254080000,2025-09-15
15,BIAF,"bioAffinity Technologies, Inc.",29.78,0.35,179145272,9880000,2025-09-15
16,SLNH,"Soluna Holdings, Inc.",29.76,0.93,25748568,28040000,2025-09-15
17,BGL,Blue Gold Limited,28.65,9.7,292237,320640000.00000006,2025-09-15
18,EFOI,"Energy Focus, Inc.",27.19,3.111,115764,17030000,2025-09-15
19,WOLF,"Wolfspeed, Inc.",27.04,2.96,119725950,463160000,2025-09-15
20,LPTH,"LightPath Technologies, Inc.",25.87,6.91,3587122,296429999.99999994,2025-09-15
1,TURB,"Turbo Energy, S.A.",359.26,12.4,141892560,136610000,2025-09-16
2,FGI,FGI Industries Ltd.,139.29,9.5,41388733,18220000,2025-09-16
3,CODX,"Co-Diagnostics, Inc.",80.76,0.639,243303725,24610000.000000004,2025-09-16
4,CNFR,"Conifer Holdings, Inc.",55.48,1.76,41361116,21510000,2025-09-16
5,BGI,Birks Group Inc.,55.44,1.32,49016857,25860000,2025-09-16
6,FLUX,"Flux Power Holdings, Inc.",52.17,3.15,7558043,53030000,2025-09-16
7,BOXL,Boxlight Corporation,45.660000000000004,2.52,43389622,6689999.999999999,2025-09-16
8,LVRO,Lavoro Limited,45.51,2.04,2508347,233750000,2025-09-16
9,NFE,New Fortress Energy Inc.,44.93,2,90420917,569110000,2025-09-16
10,WBTN,WEBTOON Entertainment Inc.,39.04,20.8,8823448,2720000,2025-09-16
11,KLRS,"Kalaris Therapeutics, Inc.",35.04,5.01,420450,93700000,2025-09-16
12,ILLR,Triller Group Inc.,34.09,1.14,4705153,199900000,2025-09-16
13,AEI,Alset Inc.,33.02,4.27,1704510,167480000.00000003,2025-09-16
14,DVLT,Datavault AI Inc.,32.99,0.445,41116030,51930000,2025-09-16
15,APLM,"Apollomics, Inc.",31.110000000000003,12.18,170716,26140000,2025-09-16
16,SBEV,"Splash Beverage Group, Inc.",30.18,2.2,550211,4720000,2025-09-16
17,LEE,"Lee Enterprises, Incorporated",30.09,5.88,593778,36830000,2025-09-16
18,CCG,Cheche Group Inc.,27.12,1.5,1728904,125460000.00000001,2025-09-16
19,GORV,"Lazydays Holdings, Inc.",24.9,3.06,27152670,11430000,2025-09-16
20,TANH,Tantech Holdings Ltd,24.87,2.36,14184327,3210000,2025-09-16
